SKN,Island,albedo,coastDist,dem_250,lai,rf,tpi,windSpeed,LON,LAT,optional
88.1,BI,12.3316669464111,7901.3564453125,346.483337402344,0.982333123683929,5031.033203125,-1.51342141628265,1.28432404994965,-155.1405634,19.68362898,True
88.8,BI,NA,NA,186.0061492919922,NA,NA,NA,NA,-155.0805636,19.644743,NA
91.0,BI,14.8703336715698,17269.96484375,460.160858154297,0.937809824943542,4543.0166015625,-1.08170068264008,1.84446573257446,-155.1101,19.5487,True
91.14,BI,12.3316669464111,12372.6572265625,302.357818603516,0.964010655879974,4365.69775390625,-2.12000918388367,1.49998354911804,-155.083,19.59,True
91.6,BI,12.3316669464111,12907.5751953125,293.793029785156,0.870866477489471,3792.16552734375,1.50694143772125,1.78501629829407,-155.0206,19.5145,True
92.11,BI,NA,NA,180.6278533935547,NA,NA,NA,NA,-155.0515231,19.6061748,NA
93.12,BI,9.90299987792969,15759.966796875,810.117980957031,0.443362921476364,653.913208007812,4.90141296386719,1.50549817085266,-155.7697222,19.83277778,True
93.13,BI,11.3028335571289,9963.8486328125,606.09033203125,0.523552656173706,578.635437011719,-3.31777453422546,1.14286112785339,-155.85062,19.80256,True
93.9,BI,11.2469997406006,249.080642700195,0.838887333869934,0.251982718706131,265.797607421875,NA,2.54879117012024,-155.9247,19.85497,True
94.0,BI,3.85458326339722,5795.12744140625,346.146301269531,0.49314072728157,459.943725585938,-2.46539807319641,2.08030843734741,-155.9180556,19.80333333,True
94.5,BI,10.1972503662109,10802.8466796875,673.812744140625,0.579513728618622,619.111572265625,2.29035449028015,1.08648872375488,-155.8452778,19.795,True
94.6,BI,NA,NA,1119.1900634765625,NA,NA,NA,NA,-155.83118,19.77241,NA
95.6,BI,13.5561666488647,7467.439453125,272.801879882812,0.689845740795135,323.151947021484,-7.03226709365845,2.62110757827759,-155.7936111,19.92416667,True
98.1,BI,11.8706665039062,864.276733398438,41.1433601379395,0.719233274459839,281.347778320312,4.12591886520386,1.95787012577057,-155.81944,20.02666416,True
98.2,BI,11.8706665039062,1023.91619873047,36.9141998291016,0.6464963555336,758.093322753906,1.38792729377747,1.08709406852722,-155.9075,19.42194444,True
99.0,BI,9.11541652679443,25183.546875,1263.41345214844,0.22458204627037,561.18896484375,-4.24171447753906,1.5441278219223,-155.7022222,19.77166667,True
101.1,BI,15.1754169464111,18235.6796875,987.398376464844,0.715816974639893,620.990234375,3.62237811088562,2.47229552268982,-155.6786111,19.90222222,True
102.8,BI,15.1754169464111,28006.37109375,1959.99694824219,0.699734210968018,539.238830566406,6.90717554092407,1.4993007183075,-155.6130556,19.83638889,True
107.3,BI,15.1754169464111,38234.71875,1872.81213378906,0.697454512119293,382.776489257812,-1.95628869533539,2.94863867759705,-155.55361,19.76,True
107.4,BI,12.9787502288818,44333.12890625,1956.1640625,0.25426521897316,598.851989746094,-1.23900353908539,5.51859855651855,-155.5452778,19.68277778,True
108.0,BI,15.1754169464111,33501.453125,1701.61340332031,0.617166519165039,503.617095947266,4.21882629394531,3.08489537239075,-155.627,19.746,True
109.0,BI,15.1754169464111,33700.6953125,1700.50769042969,0.34062871336937,500.516326904297,-2.29400134086609,3.03688716888428,-155.6261111,19.74583333,True
113.2,BI,15.1754169464111,16632.31640625,1819.09411621094,0.656631171703339,765.470031738281,-0.243545532226562,2.41286611557007,-155.44,19.92666,True
126.2,BI,NA,NA,2337.09228515625,NA,NA,NA,NA,-155.362586,19.845036,NA
127.5,BI,12.3316669464111,8623.42578125,1149.439453125,0.84762054681778,3375.0615234375,1.25112915039062,2.9118185043335,-155.29129,19.93217,True
128.1,BI,10.935417175293,18035.96484375,1680.26232910156,0.733626365661621,2655.65844726562,-2.00966382026672,1.53259921073914,-155.30797,19.83873,True
129.0,BI,10.935417175293,20914.85546875,1942.33581542969,0.707811057567596,1974.62072753906,-1.67240905761719,1.51673543453217,-155.3305556,19.82111111,True
132.2,BI,15.1754169464111,3197.58227539062,459.707824707031,0.975464940071106,4898.52392578125,-1.46121728420258,3.33823895454407,-155.25014,19.96358,True
132.5,BI,15.1754169464111,1806.07690429688,275.953460693359,0.888399124145508,4371.4326171875,-3.60287022590637,3.1503427028656,-155.23944,19.97278,True
132.6,BI,NA,NA,338.5273132324219,NA,NA,NA,NA,-155.2367,19.9672,NA
133.1,BI,13.5561666488647,864.431213378906,150.065734863281,0.845022976398468,3823.51904296875,5.71627950668335,2.61927199363708,-155.2305601,19.98027372,True
141.1,BI,NA,NA,250.29283142089844,NA,NA,NA,NA,-155.122435,19.834341,NA
147.2,BI,15.1754169464111,3250.29370117188,303.851806640625,0.731720924377441,295.083190917969,4.20593118667603,2.63511681556702,-155.8325,20.08305556,True
159.2,BI,3.85458326339722,470.165100097656,22.0998706817627,0.72081333398819,807.0615234375,NA,5.93565082550049,-155.8869314,20.25025779,True
160.3,BI,NA,NA,31.50788307189941,NA,NA,NA,NA,-155.8582,20.265,NA
168.0,BI,12.9787502288818,2998.33032226562,184.144088745117,0.787916600704193,1463.2314453125,1.46474707126617,4.47254467010498,-155.8272119,20.23692665,True
181.3,BI,NA,NA,1134.84326171875,NA,NA,NA,NA,-155.749329,20.122834,NA
191.1,BI,15.1754169464111,15196.783203125,800.975830078125,0.742401301860809,504.194000244141,1.00021612644196,5.19362783432007,-155.6763867,20.01083015,True
191.41,BI,NA,NA,801.5787353515625,NA,NA,NA,NA,-155.677085,20.019528,NA
201.4,BI,NA,NA,807.3716430664062,NA,NA,NA,NA,-155.6743,19.9984,NA
208.1,BI,NA,NA,299.36376953125,NA,NA,NA,NA,-155.531,20.101,NA
221.0,BI,12.9787502288818,2103.646484375,248.840255737305,0.864238560199738,2557.35986328125,1.16053581237793,3.27901268005371,-155.3688913,20.03860487,True
223.0,BI,14.1107501983643,747.255554199219,116.294364929199,0.827387273311615,3038.140625,9.91528797149658,4.60597944259644,-155.2838932,20.01527222,True
249.1,MA,11.2469997406006,970.460327148438,28.9875106811523,0.650120258331299,371.260681152344,-2.44915223121643,2.3051860332489,-156.4388486,20.6420893,True
253.0,MA,15.1754169464111,6974.857421875,1142.11938476562,0.537577450275421,733.613464355469,-21.7561721801758,1.55106568336487,-156.3420556,20.64422222,True
254.11,MA,NA,NA,721.3018188476562,NA,NA,NA,NA,-156.273889,20.633945,NA
254.12,MA,NA,NA,1003.7645263671876,NA,NA,NA,NA,-156.284703,20.644215,NA
257.1,MA,NA,NA,448.0255432128906,NA,NA,NA,NA,-156.1921934,20.65514412,NA
258.6,MA,12.9787502288818,468.906982421875,18.3826713562012,0.747965276241302,2087.51000976562,NA,3.12289834022522,-156.04248,20.662925,True
266.0,MA,15.1754169464111,6725.78759765625,1319.68688964844,0.769055068492889,2258.95092773438,-37.3959045410156,3.59437704086304,-156.1519444,20.68416667,True
267.0,MA,13.5561666488647,9405.87109375,932.056640625,0.703230142593384,800.120422363281,-2.21915173530579,0.884056389331818,-156.3555187,20.70013977,True
